,restaurant,street,zip,city,country,lat,lng
87,McDonalds,WEST ONE SHOPPING CENTRE,W1C 2JS,London,England,51.51496,-0.14446
88,McDonalds,"Chancery Lane,  6/7 HOLBORN",EC1N 2LL,London,England,51.51827,-0.11381
89,McDonalds,"Victoria Station,  MAIN CONCOURSE",SW1V 1JT,London,England,51.49383,-0.14543
90,McDonalds,115 BUCKINGHAM PALACE ROAD,SW1W 9SJ,London,England,51.494464,-0.145958
91,McDonalds,1A LUDGATE HILL,EC4M 7AA,London,England,51.514149,-0.103806
92,McDonalds,134 TOTTENHAM COURT ROAD,W1T 5BA,London,England,51.524601,-0.137858
93,McDonalds,122 BAKER STREET,W1U 6TX,London,England,51.522171,-0.157542
94,McDonalds,BELGROVE HOUSE,NW1 2RY,London,England,51.53433,-0.02669
95,McDonalds,302/304 PENTONVILLE ROAD,N1 9XD,London,England,51.53097,-0.119447
96,BK,Alexanderplatz 8,10178,Berlin,Germany,52.52233,13.41274
97,BK,S-Bahnhof Friedrichstr.,10178,Berlin,Germany,52.50823,13.84507
98,BK,Landsberger Allee 119,10407,Berlin,Germany,52.5294,13.45786
99,BK,Schönhauser Allee 79-80,10439,Berlin,Germany,52.54973,13.4142
100,BK,Str. des 17. Juni 100,10557,Berlin,Germany,52.514,13.33748
101,BK,Europaplatz 1,10557,Berlin,Germany,52.52569,13.36846
102,BK,Wilmersdorfer Str. 112,10627,Berlin,Germany,52.50695,13.30682
103,BK,Potsdamer Str. 114,10785,Berlin,Germany,52.50043,13.36302
104,BK,General-Pape-Str. 1,12101,Berlin,Germany,52.47543,13.36602
105,BK,Tempelhofer Damm 28-30,12101,Berlin,Germany,52.48047,13.38551
106,BK,Ostpreußendamm 60,12207,Berlin,Germany,52.42306,13.31274
107,BK,Nahmitzer Damm 12,12277,Berlin,Germany,52.40925,13.36835
108,BK,Buckower Damm 11,12349,Berlin,Germany,52.44318,13.43446
109,BK,Michael-Brückner-Str. 24,12439,Berlin,Germany,52.45256,13.51482
110,BK,Alt-Mahlsdorf 23,12623,Berlin,Germany,52.50539,13.60705
111,BK,Marzahner Promenade 1a,12679,Berlin,Germany,52.54329,13.54349
112,BK,Prerower Platz 1,13051,Berlin,Germany,52.56606,13.50718
113,BK,Landsberger Allee 277,13055,Berlin,Germany,52.5347,13.49593
114,BK,Prenzlauer Promenade 69,13089,Berlin,Germany,52.5684,13.42833
115,BK,Flughafen Tegel,13405,Berlin,Germany,52.55232,13.29353
116,BK,Oraniendamm 6–10,13469,Berlin,Germany,52.60758,13.32617
117,BK,Holzhauser Str. 31–33,13509,Berlin,Germany,52.57875,13.29787
118,BK,Charlottenburger Chaussee 51–55,13597,Berlin,Germany,52.52727,13.23309
119,BK,Carl-Schurz-Str. 37,13597,Berlin,Germany,52.53748,13.20339
120,BK,Saatwinkler Damm 61 - 64,13627,Berlin,Germany,52.5474,13.31057
121,BK,Paulsternstraße 16,13629,Berlin,Germany,52.54034,13.24776
122,BK,Kronprinzessinnenweg 120,14129,Berlin,Germany,52.4343,13.19085
123,BK,2 RUE PIERRE LESCOT,75001,Paris,France,48.86116,2.34796
124,BK,63 BOULEVARD SAINT-MICHEL,75005,Paris,France,48.8475,2.34117
125,BK,20 RUE DE LA ROQUETTE,75011,Paris,France,48.8539,2.37104
126,BK,23 PLACE DE LA REPUBLIQUE,75003,Paris,France,48.8678,2.3621
127,BK,36 BOULEVARD DES ITALIENS,75009,Paris,France,48.87128,2.33495
128,BK,93 BOULEVARD DE STRASBOURG,75010,Paris,France,48.87609,2.35757
129,BK,84 BOULEVARD DU MONTPARNASSE,75014,Paris,France,48.84286,2.32636
130,BK,25 RUE DE DUNKERQUE,75010,Paris,France,48.87993,2.35404
131,BK,1 RUE BALANCHINE,75013,Paris,France,48.8366,2.37424
132,BK,2 rue d'Amsterdam,75009,Paris,France,48.87579,2.32695
133,BK,3 BOULEVARD DE BARBÈS,75018,Paris,France,48.88419,2.34923
134,BK,4-6 AVENUE DU TRÔNE,75012,Paris,France,48.84781,2.39793
135,BK,78/80 AVENUE DU GENERAL LECLERC,75014,Paris,France,48.82903,2.32762
136,BK,124 RUE LA BOETIE,75008,Paris,France,48.87108,2.30638
137,BK,279 AVENUE DAUMESNIL,75012,Paris,France,48.83581,2.40646
138,BK,16 RUE DE TILSITT,75017,Paris,France,48.87528,2.2957
139,BK,30 Avenue Corentin Cariou,75019,Paris,France,48.89724,2.38558
140,BK,187 AVENUE DE CLICHY,75017,Paris,France,48.89412,2.3138
141,BK,17-21 LEICESTER SQUARE,WC2H 7LE,London,England,51.5099,-0.130392
142,BK,1A-1B TOTTENHAM COURT ROAD,W1T 1BA,London,England,51.519005,-0.13268
143,BK,Waterloo Rd,SE1 8SW,London,England,51.503730,-0.112640
144,BK,BARRIER LINE,NW1 2DU,London,England,51.502033,0.031358
145,BK,27-29 EUSTON ROAD,NW1 2SD,London,England,51.52913,-0.126267
146,BK,138 CAMDEN HIGH STREET,NW1 0LU,London,England,51.535981,-0.139856
147,BK,7 Harewood Ave,NW1 6JJ,London,England,51.522109,-0.16384
148,BK,Fenchurch Street Railway Station,EC3M 4PB,London,England,51.511716,-0.079068
149,BK,PADDINGTON RAIL STATION,,London,England,51.44014,0.05009
150,BK,85 GLOUCESTER ROAD,TW9 3BT,London,England,51.421523,-0.363617
151,BK,90 WHITECHAPEL HIGH STREET,E1 7RA,London,England,51.515817,-0.070877
152,BK,70-72 QUEENSWAY,W2 3RL,London,England,51.512748,-0.187618
153,BK,250-252 EARLS COURT ROAD,SW5 9AD,London,England,51.492,-0.192734
154,BK,Rotherhithe FOOD COURT SURREY QUAYS CENTRE,SE16 7LL,London,England,51.49899,-0.04868
